"geographic_region","labid.y","fieldid","POINT_X","POINT_Y","SpeciesIDL","SpeciesID_OSU","defecator","commonname","species","genus","family","order","class","phylum","speciessimpleidgroomed.y","idlevel","genusgroup","familygroup","ordergroup","generalgroup","taxasizegroup","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,24210,2604,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",98,24210,2604,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata","Urocitellus beldingi","Species","Ground squirrels","Squirrels","Rodents","Mammals","MammalsSmall",100,24210,2604,3766,0.155555555555556,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",98,24210,9202,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,24210,9202,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,24210,9202,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",100,24210,9202,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata","Urocitellus beldingi","Species","Ground squirrels","Squirrels","Rodents","Mammals","MammalsSmall",100,24210,9202,3766,0.155555555555556,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","Pacific marten","Martes caurina","Martes","Mustelidae","Carnivora","Mammalia","Chordata","Martes caurina","Species","Martens","Mustelids","Carnivores","Mammals","MammalsMedium",100,36266,7808,4172,0.115038879391165,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","Montane vole","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Microtus montanus","Species","Voles","Cricetids","Rodents","Mammals","MammalsSmall",98.99,36266,7808,5514,0.152043236088899,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,36266,7808,16815,0.463657420173165,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Salvelinus sp.","Genus","Salmon and trout","Salmon and trout","Salmon and trout","Fishes","Fishes",100,36266,7808,5265,0.145177301053328,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","Pacific marten","Martes caurina","Martes","Mustelidae","Carnivora","Mammalia","Chordata","Martes caurina","Species","Martens","Mustelids","Carnivores","Mammals","MammalsMedium",100,36266,17445,4172,0.115038879391165,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","Montane vole","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Microtus montanus","Species","Voles","Cricetids","Rodents","Mammals","MammalsSmall",98.99,36266,17445,5514,0.152043236088899,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,36266,17445,16815,0.463657420173165,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Salvelinus sp.","Genus","Salmon and trout","Salmon and trout","Salmon and trout","Fishes","Fishes",100,36266,17445,5265,0.145177301053328,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","Pacific marten","Martes caurina","Martes","Mustelidae","Carnivora","Mammalia","Chordata","Martes caurina","Species","Martens","Mustelids","Carnivores","Mammals","MammalsMedium",100,36266,11013,4172,0.115038879391165,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","Montane vole","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Microtus montanus","Species","Voles","Cricetids","Rodents","Mammals","MammalsSmall",98.99,36266,11013,5514,0.152043236088899,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,36266,11013,16815,0.463657420173165,1
"CA","YOS0004","YOSE_JGL_02AUG19_008",300898.9302,4188094.7504,"Canis latrans","Canis latrans","Canis latrans","","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Salvelinus sp.","Genus","Salmon and trout","Salmon and trout","Salmon and trout","Fishes","Fishes",100,36266,11013,5265,0.145177301053328,1
"CA","YOS0006","YOSE_JGL_03AUG19_004",297868.1305,4193533.7302,"Urocyon cinereoargenteus","Canis latrans","Canis latrans","North American porcupine","Erethizon dorsatum","Erethizon","Erethizontidae","Rodentia","Mammalia","Chordata","Erethizon dorsatum","Species","Porcupines","Porcupines","Rodents","Mammals","MammalsMedium",100,1423,612,1423,1,1
"CA","YOS0006","YOSE_JGL_03AUG19_004",297868.1305,4193533.7302,"Urocyon cinereoargenteus","Canis latrans","Canis latrans","North American porcupine","Erethizon dorsatum","Erethizon","Erethizontidae","Rodentia","Mammalia","Chordata","Erethizon dorsatum","Species","Porcupines","Porcupines","Rodents","Mammals","MammalsMedium",100,1423,115,1423,1,1
"CA","YOS0006","YOSE_JGL_03AUG19_004",297868.1305,4193533.7302,"Urocyon cinereoargenteus","Canis latrans","Canis latrans","North American porcupine","Erethizon dorsatum","Erethizon","Erethizontidae","Rodentia","Mammalia","Chordata","Erethizon dorsatum","Species","Porcupines","Porcupines","Rodents","Mammals","MammalsMedium",100,1423,696,1423,1,1
"CA","YOS0007","YOSE_JGL_03AUG19_006",298673.7479,4193492.8284,"Canis latrans","Canis latrans","Canis latrans","Chicken","Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata","Gallus gallus","Species","Chickens","Upland birds","Upland birds","Birds","BirdsMedium",100,1795,719,1124,0.626183844011142,1
"CA","YOS0007","YOSE_JGL_03AUG19_006",298673.7479,4193492.8284,"Canis latrans","Canis latrans","Canis latrans","Wild boar","Sus scrofa","Sus","Suidae","Artiodactyla","Mammalia","Chordata","Sus scrofa","Species","Pigs","Boars and pigs","Even-toed ungulates","Mammals","MammalsLarge",100,1795,719,671,0.373816155988858,1
"CA","YOS0007","YOSE_JGL_03AUG19_006",298673.7479,4193492.8284,"Canis latrans","Canis latrans","Canis latrans","Chicken","Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata","Gallus gallus","Species","Chickens","Upland birds","Upland birds","Birds","BirdsMedium",100,1795,553,1124,0.626183844011142,1
"CA","YOS0007","YOSE_JGL_03AUG19_006",298673.7479,4193492.8284,"Canis latrans","Canis latrans","Canis latrans","Wild boar","Sus scrofa","Sus","Suidae","Artiodactyla","Mammalia","Chordata","Sus scrofa","Species","Pigs","Boars and pigs","Even-toed ungulates","Mammals","MammalsLarge",100,1795,553,671,0.373816155988858,1
"CA","YOS0007","YOSE_JGL_03AUG19_006",298673.7479,4193492.8284,"Canis latrans","Canis latrans","Canis latrans","Chicken","Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata","Gallus gallus","Species","Chickens","Upland birds","Upland birds","Birds","BirdsMedium",100,1795,523,1124,0.626183844011142,1
"CA","YOS0007","YOSE_JGL_03AUG19_006",298673.7479,4193492.8284,"Canis latrans","Canis latrans","Canis latrans","Wild boar","Sus scrofa","Sus","Suidae","Artiodactyla","Mammalia","Chordata","Sus scrofa","Species","Pigs","Boars and pigs","Even-toed ungulates","Mammals","MammalsLarge",100,1795,523,671,0.373816155988858,1
"CA","YOS0008","YOSE_JGL_03AUG19_008",299150.8814,4190429.2667,"Urocyon cinereoargenteus","Canis latrans","Canis latrans","Mink","Neogale vison","Neogale","Mustelidae","Carnivora","Mammalia","Chordata","Neogale vison","Species","Weasels","Mustelids","Carnivores","Mammals","MammalsMedium",100,87046,26120,85950,0.987408956184087,1
"CA","YOS0008","YOSE_JGL_03AUG19_008",299150.8814,4190429.2667,"Urocyon cinereoargenteus","Canis latrans","Canis latrans","Mink","Neogale vison","Neogale","Mustelidae","Carnivora","Mammalia","Chordata","Neogale vison","Species","Weasels","Mustelids","Carnivores","Mammals","MammalsMedium",100,87046,21498,85950,0.987408956184087,1
"CA","YOS0008","YOSE_JGL_03AUG19_008",299150.8814,4190429.2667,"Urocyon cinereoargenteus","Canis latrans","Canis latrans","Mink","Neogale vison","Neogale","Mustelidae","Carnivora","Mammalia","Chordata","Neogale vison","Species","Weasels","Mustelids","Carnivores","Mammals","MammalsMedium",100,87046,39428,85950,0.987408956184087,1
"CA","YOS0010","YOSE_JGL_06AUG19_001",298857.4982,4188066.5368,"Canis latrans","Canis latrans","Canis latrans","","","","Anatidae","Anseriformes","Aves","Chordata","Anatidae","Family","","Ducks and geese","Waterfowl","Birds","BirdsMedium",100,115493,41315,106590,0.922913076983021,1
"CA","YOS0010","YOSE_JGL_06AUG19_001",298857.4982,4188066.5368,"Canis latrans","Canis latrans","Canis latrans","","","","Anatidae","Anseriformes","Aves","Chordata","Anatidae","Family","","Ducks and geese","Waterfowl","Birds","BirdsMedium",100,115493,20397,106590,0.922913076983021,1
"CA","YOS0010","YOSE_JGL_06AUG19_001",298857.4982,4188066.5368,"Canis latrans","Canis latrans","Canis latrans","","","","Anatidae","Anseriformes","Aves","Chordata","Anatidae","Family","","Ducks and geese","Waterfowl","Birds","BirdsMedium",100,115493,53781,106590,0.922913076983021,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,31426,3002,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,31426,3002,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",97.98,31426,3002,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",98,31426,3002,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",97.98,31426,16800,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",98,31426,16800,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,31426,16800,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,31426,16800,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,31426,11624,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,31426,11624,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",97.98,31426,11624,31426,1,1
"CA","YOS0020","YOSE_JGL_10AUG19_001",280506.9412,4185822.0765,"Puma concolor","Puma concolor","Puma concolor","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",98,31426,11624,31426,1,1
"CA","YOS0021","YOSE_JGL_10AUG19_003",280127.356,4185874.9682,"Martes caurina","Martes caurina","Martes caurina","Townsend's solitaire","Myadestes townsendi","Myadestes","Turdidae","Passeriformes","Aves","Chordata","Myadestes townsendi","Species","Solitaires","Thrushes","Songbirds","Birds","BirdsSmall",100,7918,4481,7231,0.913235665572114,1
"CA","YOS0021","YOSE_JGL_10AUG19_003",280127.356,4185874.9682,"Martes caurina","Martes caurina","Martes caurina","Townsend's solitaire","Myadestes townsendi","Myadestes","Turdidae","Passeriformes","Aves","Chordata","Myadestes townsendi","Species","Solitaires","Thrushes","Songbirds","Birds","BirdsSmall",100,7918,715,7231,0.913235665572114,1
"CA","YOS0021","YOSE_JGL_10AUG19_003",280127.356,4185874.9682,"Martes caurina","Martes caurina","Martes caurina","Townsend's solitaire","Myadestes townsendi","Myadestes","Turdidae","Passeriformes","Aves","Chordata","Myadestes townsendi","Species","Solitaires","Thrushes","Songbirds","Birds","BirdsSmall",100,7918,2722,7231,0.913235665572114,1
"CA","YOS0022","YOSE_JGL_10AUG19_004",280091.7075,4185871.2934,"Martes caurina","Martes caurina","Martes caurina","Mountain quail","Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata","Oreortyx pictus","Species","Mountain quail","Quail","Upland birds","Birds","BirdsMedium",100,4099,1008,4099,1,1
"CA","YOS0022","YOSE_JGL_10AUG19_004",280091.7075,4185871.2934,"Martes caurina","Martes caurina","Martes caurina","Mountain quail","Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata","Oreortyx pictus","Species","Mountain quail","Quail","Upland birds","Birds","BirdsMedium",100,4099,1408,4099,1,1
"CA","YOS0022","YOSE_JGL_10AUG19_004",280091.7075,4185871.2934,"Martes caurina","Martes caurina","Martes caurina","Mountain quail","Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata","Oreortyx pictus","Species","Mountain quail","Quail","Upland birds","Birds","BirdsMedium",100,4099,1683,4099,1,1
"CA","YOS0023","YOSE_JGL_10AUG19_005",279362.0907,4186739.1024,"Martes caurina","Martes caurina","Martes caurina","Douglas' squirrels","Tamiasciurus douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata","Tamiasciurus douglasii","Species","Red squirrels","Squirrels","Rodents","Mammals","MammalsSmall",100,4884,863,4884,1,1
"CA","YOS0023","YOSE_JGL_10AUG19_005",279362.0907,4186739.1024,"Martes caurina","Martes caurina","Martes caurina","Douglas' squirrels","Tamiasciurus douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata","Tamiasciurus douglasii","Species","Red squirrels","Squirrels","Rodents","Mammals","MammalsSmall",100,4884,3064,4884,1,1
"CA","YOS0023","YOSE_JGL_10AUG19_005",279362.0907,4186739.1024,"Martes caurina","Martes caurina","Martes caurina","Douglas' squirrels","Tamiasciurus douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata","Tamiasciurus douglasii","Species","Red squirrels","Squirrels","Rodents","Mammals","MammalsSmall",100,4884,957,4884,1,1
"CA","YOS0025","YOSE_JGL_10AUG19_007",279488.3787,4187226.0222,"Martes caurina","Martes caurina","Martes caurina","Sooty grouse","Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Dendragapus fuliginosus","Species","Grouse","Upland birds","Upland birds","Birds","BirdsMedium",100,58308,28982,58308,1,1
"CA","YOS0025","YOSE_JGL_10AUG19_007",279488.3787,4187226.0222,"Martes caurina","Martes caurina","Martes caurina","Sooty grouse","Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Dendragapus fuliginosus","Species","Grouse","Upland birds","Upland birds","Birds","BirdsMedium",100,58308,16909,58308,1,1
"CA","YOS0025","YOSE_JGL_10AUG19_007",279488.3787,4187226.0222,"Martes caurina","Martes caurina","Martes caurina","Sooty grouse","Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Dendragapus fuliginosus","Species","Grouse","Upland birds","Upland birds","Birds","BirdsMedium",100,58308,12417,58308,1,1
"CA","YOS0026","YOSE_JGL_15AUG19_004",297920.557,4185071.6963,"Canis latrans","Canis latrans","Canis latrans","Yellow-bellied marmot","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Marmota flaviventris","Species","Marmots","Squirrels","Rodents","Mammals","MammalsMedium",100,29152,13209,13180,0.452113062568606,1
"CA","YOS0026","YOSE_JGL_15AUG19_004",297920.557,4185071.6963,"Canis latrans","Canis latrans","Canis latrans","Montane vole","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Microtus montanus","Species","Voles","Cricetids","Rodents","Mammals","MammalsSmall",97.98,29152,13209,12060,0.413693743139407,1
"CA","YOS0026","YOSE_JGL_15AUG19_004",297920.557,4185071.6963,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,29152,13209,3912,0.134193194291987,1
"CA","YOS0026","YOSE_JGL_15AUG19_004",297920.557,4185071.6963,"Canis latrans","Canis latrans","Canis latrans","Yellow-bellied marmot","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Marmota flaviventris","Species","Marmots","Squirrels","Rodents","Mammals","MammalsMedium",100,29152,6790,13180,0.452113062568606,1
"CA","YOS0026","YOSE_JGL_15AUG19_004",297920.557,4185071.6963,"Canis latrans","Canis latrans","Canis latrans","Montane vole","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Microtus montanus","Species","Voles","Cricetids","Rodents","Mammals","MammalsSmall",97.98,29152,6790,12060,0.413693743139407,1
"CA","YOS0026","YOSE_JGL_15AUG19_004",297920.557,4185071.6963,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,29152,6790,3912,0.134193194291987,1
"CA","YOS0026","YOSE_JGL_15AUG19_004",297920.557,4185071.6963,"Canis latrans","Canis latrans","Canis latrans","Yellow-bellied marmot","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Marmota flaviventris","Species","Marmots","Squirrels","Rodents","Mammals","MammalsMedium",100,29152,9153,13180,0.452113062568606,1
"CA","YOS0026","YOSE_JGL_15AUG19_004",297920.557,4185071.6963,"Canis latrans","Canis latrans","Canis latrans","Montane vole","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Microtus montanus","Species","Voles","Cricetids","Rodents","Mammals","MammalsSmall",97.98,29152,9153,12060,0.413693743139407,1
"CA","YOS0026","YOSE_JGL_15AUG19_004",297920.557,4185071.6963,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,29152,9153,3912,0.134193194291987,1
"CA","YOS0028","YOSE_JGL_15AUG19_006",297668.0278,4185003.1369,"Canis latrans","Canis latrans","Canis latrans","Chicken","Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata","Gallus gallus","Species","Chickens","Upland birds","Upland birds","Birds","BirdsMedium",100,139683,14975,86749,0.621041930657274,1
"CA","YOS0028","YOSE_JGL_15AUG19_006",297668.0278,4185003.1369,"Canis latrans","Canis latrans","Canis latrans","","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Salvelinus sp.","Genus","Salmon and trout","Salmon and trout","Salmon and trout","Fishes","Fishes",100,139683,14975,50912,0.364482435228338,1
"CA","YOS0028","YOSE_JGL_15AUG19_006",297668.0278,4185003.1369,"Canis latrans","Canis latrans","Canis latrans","Chicken","Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata","Gallus gallus","Species","Chickens","Upland birds","Upland birds","Birds","BirdsMedium",100,139683,95294,86749,0.621041930657274,1
"CA","YOS0028","YOSE_JGL_15AUG19_006",297668.0278,4185003.1369,"Canis latrans","Canis latrans","Canis latrans","","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Salvelinus sp.","Genus","Salmon and trout","Salmon and trout","Salmon and trout","Fishes","Fishes",100,139683,95294,50912,0.364482435228338,1
