"PreyTaxa","POO","RRA","wPOO","Species","reads","species","genus","family","order","class","phylum","commonname","genusgroup","familygroup","ordergroup","generalgroup","averageweight","taxasizegroup"
"Lepus townsendii",0.628930817610063,0.515463917525773,0.515463917525773,"Bobcat",5531,"Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","White-tailed jackrabbit","Hares","Hares and rabbits","Lagomorphs","Mammals",NA,"MammalsMedium"
"Leuconotopicus albolarvatus",0.628930817610063,0.0644329896907216,0.515463917525773,"Bobcat",157117,"Leuconotopicus albolarvatus","Leuconotopicus","Picidae","Piciformes","Aves","Chordata","White-headed woodpecker","White-backed woodpeckers","Woodpeckers","Woodpeckers","Birds",NA,"BirdsSmall"
"Marmota flaviventris",15.0943396226415,17.7835051546392,17.5257731958763,"Bobcat",1244228,"Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmots","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Mergus sp.",0.628930817610063,0.343642611683849,0.515463917525773,"Bobcat",11556,"","Mergus","Anatidae","Anseriformes","Aves","Chordata","","Mergansers","Ducks and geese","Waterfowl","Birds",NA,"BirdsMedium"
"Microtus longicaudus",5.66037735849057,3.98625429553265,4.12371134020619,"Bobcat",195074,"Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Long-tailed vole","Voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Neogale frenata",0.628930817610063,0.515463917525773,0.515463917525773,"Bobcat",27261,"Neogale frenata","Neogale","Mustelidae","Carnivora","Mammalia","Chordata","Long-tailed weasel","Weasels","Mustelids","Carnivores","Mammals",NA,"MammalsMedium"
"Neotoma cinerea",1.25786163522013,0.859106529209622,1.03092783505155,"Bobcat",67953,"Neotoma cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Chordata","Bushy-tailed woodrat","Woodrats","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Neotoma macrotis",1.25786163522013,0.77319587628866,0.859106529209622,"Bobcat",16208,"Neotoma macrotis","Neotoma","Cricetidae","Rodentia","Mammalia","Chordata","Big-eared woodrat","Woodrats","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Ochotona princeps",3.77358490566038,4.50171821305842,4.38144329896907,"Bobcat",167601,"Ochotona princeps","Ochotona","Ochotonidae","Lagomorpha","Mammalia","Chordata","American pika","Pika","Pika","Lagomorphs","Mammals",NA,"MammalsSmall"
"Odocoileus sp.",2.51572327044025,2.92096219931271,3.09278350515464,"Bobcat",66032,"","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","","Deer","Deer and elk","Even-toed ungulates","Mammals",NA,"MammalsLarge"
"Oreortyx pictus",1.88679245283019,1.82560137457045,1.3745704467354,"Bobcat",2377813,"Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata","Mountain quail","Mountain quail","Quail","Upland birds","Birds",NA,"BirdsMedium"
"Peromyscus sp.",5.66037735849057,4.553264604811,4.81099656357388,"Bobcat",200574,"","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","","Mice","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Pipilo maculatus",0.628930817610063,0.257731958762887,0.515463917525773,"Bobcat",50321,"Pipilo maculatus","Pipilo","Passerellidae","Passeriformes","Aves","Chordata","Spotted towhee","Towhees","Sparrows","Songbirds","Birds",NA,"BirdsSmall"
"Sciurus griseus",1.25786163522013,1.03092783505155,0.859106529209622,"Bobcat",109976,"Sciurus griseus","Sciurus","Sciuridae","Rodentia","Mammalia","Chordata","Grey squirrel","Large squirrels","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Tamias amoenus",6.91823899371069,5.446735395189,5.75601374570447,"Bobcat",371702,"Tamias amoenus","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-pine chipmunk","Chipmunks","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Tamias sp.",3.77358490566038,3.09278350515464,3.95189003436426,"Bobcat",507063,"","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","","Chipmunks","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Tamiasciurus douglasii",16.3522012578616,18.8487972508591,17.5257731958763,"Bobcat",2430578,"Tamiasciurus douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata","Douglas' squirrels","Red squirrels","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Turdus sp.",0.628930817610063,0.343642611683849,0.343642611683849,"Bobcat",36576,"","Turdus","Turdidae","Passeriformes","Aves","Chordata","","Thrushes","Thrushes","Songbirds","Birds",NA,"BirdsSmall"
"Callospermophilus lateralis",4.80769230769231,4.33333333333333,4.5,"Cougar",110728,"Callospermophilus lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrels","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Canis latrans",0.961538461538462,1,1,"Cougar",3050,"Canis latrans","Canis","Canidae","Carnivora","Mammalia","Chordata","","Canids","Canids","Carnivores","Mammals",NA,"MammalsLarge"
"Dendragapus fuliginosus",0.961538461538462,0.333333333333333,0.5,"Cougar",8143,"Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Upland birds","Upland birds","Birds",NA,"BirdsMedium"
"Erethizon dorsatum",3.84615384615385,4,4,"Cougar",220183,"Erethizon dorsatum","Erethizon","Erethizontidae","Rodentia","Mammalia","Chordata","North American porcupine","Porcupines","Porcupines","Rodents","Mammals",NA,"MammalsMedium"
"Lepus americanus",1.92307692307692,1.5,1.5,"Cougar",11087,"Lepus americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hares","Hares and rabbits","Lagomorphs","Mammals",NA,"MammalsMedium"
"Lepus townsendii",1.92307692307692,2,2,"Cougar",38131,"Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","White-tailed jackrabbit","Hares","Hares and rabbits","Lagomorphs","Mammals",NA,"MammalsMedium"
"Marmota flaviventris",1.92307692307692,2,2,"Cougar",305250,"Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmots","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Odocoileus sp.",75.9615384615385,78.3333333333333,78,"Cougar",5304998,"","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","","Deer","Deer and elk","Even-toed ungulates","Mammals",NA,"MammalsLarge"
"Sciurus griseus",0.961538461538462,0.5,0.5,"Cougar",54780,"Sciurus griseus","Sciurus","Sciuridae","Rodentia","Mammalia","Chordata","Grey squirrel","Large squirrels","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Tamias amoenus",0.961538461538462,0.5,0.5,"Cougar",8151,"Tamias amoenus","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-pine chipmunk","Chipmunks","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Urocyon cinereoargenteus",1.92307692307692,1.5,1.5,"Cougar",88648,"Urocyon cinereoargenteus","Urocyon","Canidae","Carnivora","Mammalia","Chordata","Gray fox","Foxes","Canids","Carnivores","Mammals",NA,"MammalsMedium"
"Ursus americanus",3.84615384615385,4,4,"Cougar",89399,"Ursus americanus","Ursus","Ursidae","Carnivora","Mammalia","Chordata","American black bear","Bears","Bears","Carnivores","Mammals",NA,"MammalsLarge"
"Aplodontia rufa",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",1908,"Aplodontia rufa","Aplodontia","Aplodontiidae","Rodentia","Mammalia","Chordata","Mountain beaver","Mountain beaver","Mountain beaver","Rodents","Mammals",NA,"MammalsMedium"
"Asio otus",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",416,"Asio otus","Asio","Strigidae","Strigiformes","Aves","Chordata","Long-eared owl","Eared owls","Owls","Owls","Birds",NA,"BirdsLarge"
"Callospermophilus lateralis",3.23846908734053,3.04883831199621,2.88051209103841,"Coyote",1394898,"Callospermophilus lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrels","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Castor canadensis",0.098135426889107,0.0355618776671408,0.0355618776671408,"Coyote",2392,"Castor canadensis","Castor","Castoridae","Rodentia","Mammalia","Chordata","Beaver","Beavers","Beavers","Rodents","Mammals",NA,"MammalsMedium"
"Colaptes auratus",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",19786,"Colaptes auratus","Colaptes","Picidae","Piciformes","Aves","Chordata","Northern flicker","Flickers","Woodpeckers","Woodpeckers","Birds",NA,"BirdsMedium"
"Cyanocitta stelleri",0.294406280667321,0.213371266002845,0.213371266002845,"Coyote",99178,"Cyanocitta stelleri","Cyanocitta","Corvidae","Passeriformes","Aves","Chordata","Steller's jay","Jays","Corvids","Songbirds","Birds",NA,"BirdsSmall"
"Dendragapus fuliginosus",1.86457311089303,1.84921763869132,1.93219535324798,"Coyote",1261288,"Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Upland birds","Upland birds","Birds",NA,"BirdsMedium"
"Eremophila alpestris",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",14755,"Eremophila alpestris","Eremophila","Alaudidae","Passeriformes","Aves","Chordata","Horned lark","Horned larks","Larks","Songbirds","Birds",NA,"BirdsSmall"
"Erethizon dorsatum",0.196270853778214,0.213371266002845,0.213371266002845,"Coyote",3152,"Erethizon dorsatum","Erethizon","Erethizontidae","Rodentia","Mammalia","Chordata","North American porcupine","Porcupines","Porcupines","Rodents","Mammals",NA,"MammalsMedium"
"Gallus gallus",0.490677134445535,0.403034613560929,0.403034613560929,"Coyote",148428,"Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata","Chicken","Chickens","Upland birds","Upland birds","Birds",NA,"BirdsMedium"
"Junco hyemalis",2.15897939156035,1.55049786628734,1.70697012802276,"Coyote",696483,"Junco hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Juncos","Sparrows","Songbirds","Birds",NA,"BirdsSmall"
"Lagopus leucura",0.294406280667321,0.165955429113324,0.213371266002845,"Coyote",105066,"Lagopus leucura","Lagopus","Phaisianidae","Galliformes","Aves","Chordata","White-tailed ptarmigan","Ptarmigans","Upland birds","Upland birds","Birds",NA,"BirdsMedium"
"Lepus americanus",0.588812561334642,0.512091038406828,0.497866287339972,"Coyote",135294,"Lepus americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hares","Hares and rabbits","Lagomorphs","Mammals",NA,"MammalsMedium"
"Lepus sp.",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",18999,"","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","","Hares","Hares and rabbits","Lagomorphs","Mammals",NA,"MammalsMedium"
"Lepus townsendii",2.74779195289499,2.88525367472736,2.90422000948317,"Coyote",421155,"Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","White-tailed jackrabbit","Hares","Hares and rabbits","Lagomorphs","Mammals",NA,"MammalsMedium"
"Lynx rufus",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",7343,"Lynx rufus","Lynx","Felidae","Carnivora","Mammalia","Chordata","Bobcat","Lynx","Felids","Carnivores","Mammals",NA,"MammalsMedium"
"Marmota flaviventris",34.6418056918548,40.8795637743006,40.5523944997629,"Coyote",13266904,"Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmots","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Martes caurina",0.392541707556428,0.367472735893788,0.320056899004267,"Coyote",172084,"Martes caurina","Martes","Mustelidae","Carnivora","Mammalia","Chordata","Pacific marten","Martens","Mustelids","Carnivores","Mammals",NA,"MammalsMedium"
"Microtus longicaudus",5.6918547595682,4.02797534376482,4.39781887150308,"Coyote",1166412,"Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Long-tailed vole","Voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Microtus montanus",3.92541707556428,3.18160265528687,2.96348980559507,"Coyote",1640629,"Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Montane vole","Voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Microtus sp.",1.76643768400393,1.07396870554765,1.18539592223803,"Coyote",465537,"","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","","Voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Neogale frenata",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",33920,"Neogale frenata","Neogale","Mustelidae","Carnivora","Mammalia","Chordata","Long-tailed weasel","Weasels","Mustelids","Carnivores","Mammals",NA,"MammalsMedium"
"Neogale vison",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",87046,"Neogale vison","Neogale","Mustelidae","Carnivora","Mammalia","Chordata","Mink","Weasels","Mustelids","Carnivores","Mammals",NA,"MammalsMedium"
"Neotoma cinerea",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",17394,"Neotoma cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Chordata","Bushy-tailed woodrat","Woodrats","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Ochotona princeps",1.76643768400393,1.60028449502134,1.55286865813182,"Coyote",298581,"Ochotona princeps","Ochotona","Ochotonidae","Lagomorpha","Mammalia","Chordata","American pika","Pika","Pika","Lagomorphs","Mammals",NA,"MammalsSmall"
"Odocoileus sp.",18.9401373895976,21.9013750592698,21.2067330488383,"Coyote",11732244,"","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","","Deer","Deer and elk","Even-toed ungulates","Mammals",NA,"MammalsLarge"
"Oncorhynchus sp.",2.35525024533857,2.28781412991939,2.28781412991939,"Coyote",847623,"","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","","Salmon and trout","Salmon and trout","Salmon and trout","Fishes",NA,"Fishes"
"Oreortyx pictus",0.490677134445535,0.237079184447605,0.308202939781887,"Coyote",84230,"Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata","Mountain quail","Mountain quail","Quail","Upland birds","Birds",NA,"BirdsMedium"
"Peromyscus sp.",2.15897939156035,1.32764343290659,1.39876718824087,"Coyote",314618,"","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","","Mice","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Phenacomys intermedius",0.098135426889107,0.0474158368895211,0.0474158368895211,"Coyote",24924,"Phenacomys intermedius","Phenacomys","Cricetidae","Rodentia","Mammalia","Chordata","Western heather vole","Heather voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Pipilo maculatus",0.490677134445535,0.355618776671408,0.331910858226648,"Coyote",375871,"Pipilo maculatus","Pipilo","Passerellidae","Passeriformes","Aves","Chordata","Spotted towhee","Towhees","Sparrows","Songbirds","Birds",NA,"BirdsSmall"
"Poecile atricapillus",0.098135426889107,0.0284495021337127,0.0711237553342817,"Coyote",44669,"Poecile atricapillus","Poecile","Paridae","Passeriformes","Aves","Chordata","Black-capped chickadee","Chickadees","Tits","Songbirds","Birds",NA,"BirdsSmall"
"Pseudacris sierra",0.294406280667321,0.189663347558084,0.189663347558084,"Coyote",9980,"Pseudacris sierra","Pseudacris","Hylidae","Anura","Amphibia","Chordata","Sierran tree frog","Chorus frogs","Tree frogs","Frogs and toads","Amphibians",NA,"Amphibians"
"Puma concolor",0.098135426889107,0.0474158368895211,0.0711237553342817,"Coyote",15514,"Puma concolor","Puma","Felidae","Carnivora","Mammalia","Chordata","Puma","Puma","Felids","Carnivores","Mammals",NA,"MammalsLarge"
"Rana muscosa",0.785083415112856,0.782361308677098,0.806069227121859,"Coyote",675404,"Rana muscosa","Rana","Ranidae","Anura","Amphibia","Chordata","Mountain yellow-legged frog","Pond frogs","True frogs","Frogs and toads","Amphibians",NA,"Amphibians"
"Salvelinus sp.",4.41609421000981,2.94215267899478,3.34281650071124,"Coyote",1250907,"","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","","Salmon and trout","Salmon and trout","Salmon and trout","Fishes",NA,"Fishes"
"Sayornis phoebe",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",88832,"Sayornis phoebe","Sayornis","Tyrannidae","Passeriformes","Aves","Chordata","Eastern phoebe","Phoebes","Tyrant flycatchers","Songbirds","Birds",NA,"BirdsSmall"
"Scapanus latimanus",0.98135426889107,0.924608819345662,0.924608819345662,"Coyote",190227,"Scapanus latimanus","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata","Northern broad-footed mole","Moles","Moles","Moles and shrews","Mammals",NA,"MammalsSmall"
"Sitta sp.",0.196270853778214,0.0829777145566619,0.118539592223803,"Coyote",119325,"","Sitta","Sittidae","Passeriformes","Aves","Chordata","","Nuthatches","Nuthatches","Songbirds","Birds",NA,"BirdsSmall"
"Sus scrofa",0.196270853778214,0.0995732574679943,0.118539592223803,"Coyote",8768,"Sus scrofa","Sus","Suidae","Artiodactyla","Mammalia","Chordata","Wild boar","Pigs","Boars and pigs","Even-toed ungulates","Mammals",NA,"MammalsLarge"
"Tamias amoenus",1.66830225711482,1.21621621621622,1.24466571834993,"Coyote",378608,"Tamias amoenus","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-pine chipmunk","Chipmunks","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Tamias sp.",0.294406280667321,0.165955429113324,0.189663347558084,"Coyote",109166,"","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","","Chipmunks","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Tamiasciurus douglasii",0.294406280667321,0.196775723091513,0.165955429113324,"Coyote",71929,"Tamiasciurus douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata","Douglas' squirrels","Red squirrels","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Thomomys sp.",0.588812561334642,0.474158368895211,0.486012328117591,"Coyote",12533,"","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","","Pocket gophers","Pocket gophers","Rodents","Mammals",NA,"MammalsSmall"
"Turdus sp.",0.294406280667321,0.0995732574679943,0.154101469890944,"Coyote",126516,"","Turdus","Turdidae","Passeriformes","Aves","Chordata","","Thrushes","Thrushes","Songbirds","Birds",NA,"BirdsSmall"
"Urocitellus beldingi",3.63101079489696,3.06780464675202,3.09388335704125,"Coyote",834066,"Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata","","Ground squirrels","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Ursus americanus",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",5726,"Ursus americanus","Ursus","Ursidae","Carnivora","Mammalia","Chordata","American black bear","Bears","Bears","Carnivores","Mammals",NA,"MammalsLarge"
"Vulpes vulpes",0.392541707556428,0.308202939781887,0.260787102892366,"Coyote",39852,"Vulpes vulpes","Vulpes","Canidae","Carnivora","Mammalia","Chordata","Red fox","Foxes","Canids","Carnivores","Mammals",NA,"MammalsMedium"
"Callospermophilus lateralis",8.06451612903226,9.41860465116279,8.72093023255814,"Grayfox",496447,"Callospermophilus lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrels","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Equus caballus",1.61290322580645,2.32558139534884,2.32558139534884,"Grayfox",1201,"Equus caballus","Equus","Equidae","Perissodactyla","Mammalia","Chordata","Horse","Horses and donkeys","Horses and donkeys","Odd-toed ungulates","Mammals",NA,"MammalsLarge"
"Glaucomys sabrinus",4.83870967741935,4.65116279069767,4.65116279069767,"Grayfox",64004,"Glaucomys sabrinus","Glaucomys","Sciuridae","Rodentia","Mammalia","Chordata","Northern flying squirrel","Flying squirrels","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Junco hyemalis",4.83870967741935,4.26356589147287,4.65116279069767,"Grayfox",49416,"Junco hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Juncos","Sparrows","Songbirds","Birds",NA,"BirdsSmall"
"Microtus longicaudus",4.83870967741935,6.2015503875969,5.81395348837209,"Grayfox",76884,"Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Long-tailed vole","Voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Oreortyx pictus",8.06451612903226,9.30232558139535,9.30232558139535,"Grayfox",170228,"Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata","Mountain quail","Mountain quail","Quail","Upland birds","Birds",NA,"BirdsMedium"
"Peromyscus boylii",3.2258064516129,3.48837209302326,3.48837209302326,"Grayfox",32714,"Peromyscus boylii","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Brush mouse","Mice","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Peromyscus sp.",37.0967741935484,36.7829457364341,38.5658914728682,"Grayfox",1242539,"","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","","Mice","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Pipilo maculatus",6.45161290322581,5.81395348837209,5.81395348837209,"Grayfox",62123,"Pipilo maculatus","Pipilo","Passerellidae","Passeriformes","Aves","Chordata","Spotted towhee","Towhees","Sparrows","Songbirds","Birds",NA,"BirdsSmall"
"Plestiodon gilberti",1.61290322580645,0.581395348837209,0.581395348837209,"Grayfox",5923,"Plestiodon gilberti","Plestiodon","Scincidae","Squamata","Reptilia","Chordata","Gilbert's skink","Skinks","Skinks","Squamates","Reptiles",NA,"Reptiles"
"Sphyrapicus varius",1.61290322580645,1.16279069767442,1.16279069767442,"Grayfox",44263,"Sphyrapicus varius","Sphyrapicus","Picidae","Piciformes","Aves","Chordata","Yellow-bellied sapsucker","Sapsuckers","Woodpeckers","Woodpeckers","Birds",NA,"BirdsSmall"
"Tamias sp.",8.06451612903226,7.75193798449612,7.75193798449612,"Grayfox",183758,"","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","","Chipmunks","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Tamiasciurus douglasii",4.83870967741935,4.18604651162791,3.10077519379845,"Grayfox",339006,"Tamiasciurus douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata","Douglas' squirrels","Red squirrels","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Taricha granulosa",1.61290322580645,0.581395348837209,0.581395348837209,"Grayfox",5923,"Taricha granulosa","Taricha","Salamandridae","Urodela","Amphibia","Chordata","Rough-skinned newt","Toxic newts","Newts and salamanders","Salamanders","Amphibians",NA,"Amphibians"
"Thomomys sp.",1.61290322580645,1.16279069767442,1.16279069767442,"Grayfox",9384,"","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","","Pocket gophers","Pocket gophers","Rodents","Mammals",NA,"MammalsSmall"
"Vulpes vulpes",1.61290322580645,2.32558139534884,2.32558139534884,"Grayfox",640,"Vulpes vulpes","Vulpes","Canidae","Carnivora","Mammalia","Chordata","Red fox","Foxes","Canids","Carnivores","Mammals",NA,"MammalsMedium"
"Callospermophilus lateralis",8.7719298245614,10.3703703703704,10.2469135802469,"Marten",835270,"Callospermophilus lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrels","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Canis latrans",0.584795321637427,0.37037037037037,0.37037037037037,"Marten",43144,"Canis latrans","Canis","Canidae","Carnivora","Mammalia","Chordata","","Canids","Canids","Carnivores","Mammals",NA,"MammalsLarge"
"Catharus fuscescens",1.16959064327485,0.987654320987654,0.987654320987654,"Marten",53923,"Catharus fuscescens","Catharus","Turdidae","Passeriformes","Aves","Chordata","Veery","Thrushes","Thrushes","Songbirds","Birds",NA,"BirdsSmall"
"Cyanocitta stelleri",1.16959064327485,0.555555555555556,0.740740740740741,"Marten",101115,"Cyanocitta stelleri","Cyanocitta","Corvidae","Passeriformes","Aves","Chordata","Steller's jay","Jays","Corvids","Songbirds","Birds",NA,"BirdsSmall"
"Dendragapus fuliginosus",1.75438596491228,2.22222222222222,2.22222222222222,"Marten",290251,"Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Upland birds","Upland birds","Birds",NA,"BirdsMedium"
"Glaucomys sabrinus",0.584795321637427,0.37037037037037,0.37037037037037,"Marten",38462,"Glaucomys sabrinus","Glaucomys","Sciuridae","Rodentia","Mammalia","Chordata","Northern flying squirrel","Flying squirrels","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
